Year_Birth;Education;Marital_Status;Estimated_Income;Kid_home;Teen_home;Registration_date;Recency;Exist_Complain;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumWebPurchases;NumCatalogPurchases;NumStorePurchases
1955;Graduation;Together;53863;0;1;17.05.2022;4;0;399;4;30;6;4;30;7;1;7
1959;Graduation;Together;24221;0;0;20.08.2021;94;0;8;9;9;2;5;22;1;1;3
1984;PhD;Single;39684;1;0;12.10.2020;41;1;19;0;35;6;4;17;2;1;2
1975;Master;Married;92163;0;0;12.12.2020;25;0;817;183;797;106;163;20;5;11;5
1965;Master;Single;69882;0;0;10.11.2021;94;0;292;127;635;132;127;165;3;7;9
1977;Graduation;Together;33178;1;0;30.01.2022;9;0;12;6;2;11;2;16;1;0;3
1972;PhD;Married;59973;0;0;11.09.2021;47;0;130;30;168;20;34;0;3;4;7
1975;Master;Together;17459;1;0;19.09.2021;12;0;6;4;16;3;10;30;3;1;2
1969;Graduation;Divorced;23910;1;0;26.10.2020;80;0;16;12;18;7;1;13;2;0;3
1969;Master;Married;42169;1;1;19.10.2021;20;0;19;0;9;0;0;2;1;0;3
1978;2n Cycle;Married;26224;1;0;04.06.2021;39;0;4;7;15;13;9;15;2;1;3
1981;Graduation;Together;31089;1;0;17.08.2020;57;0;31;3;31;2;8;4;3;0;4
1961;Graduation;Single;30081;0;1;21.02.2021;27;0;36;0;2;0;0;4;1;0;3
1960;Graduation;Together;62807;0;1;31.08.2020;83;0;526;28;135;10;21;99;5;3;12
1955;Graduation;Single;72906;0;0;17.09.2021;79;0;400;32;519;71;75;54;3;4;9
1948;PhD;Married;61467;0;2;09.12.2020;69;0;410;16;114;0;5;49;5;2;10
1966;Master;Together;49618;1;1;26.01.2021;77;0;80;3;26;4;2;14;3;1;3
1986;Master;Single;21888;1;0;29.12.2020;15;0;88;10;46;2;3;64;5;1;2
1973;Graduation;Widow;42429;0;1;11.02.2022;99;0;55;0;6;2;0;4;1;1;3
1956;Graduation;Divorced;26150;2;1;11.03.2021;61;0;5;1;13;3;5;1;1;0;3
1975;Basic;Married;30801;0;1;26.10.2020;23;0;8;4;5;15;2;11;1;0;3
1965;Graduation;Married;81168;0;0;07.05.2022;84;0;410;0;592;147;22;22;6;4;7
1969;Master;Single;26877;0;0;19.08.2021;74;0;101;13;76;20;18;40;3;1;6
1944;Master;Widow;45006;0;0;18.07.2021;90;0;162;25;53;16;0;10;3;1;7
1973;Basic;Married;18978;1;0;11.12.2020;41;0;2;8;1;4;7;15;1;0;3
1967;Graduation;Married;22574;2;1;28.10.2021;28;0;25;0;8;2;0;2;2;0;3
1969;PhD;Single;48240;0;0;09.11.2020;73;0;389;91;248;64;49;41;6;3;13
1974;Graduation;Married;45837;1;1;26.07.2021;88;0;215;13;87;17;17;24;6;2;5
1965;Master;Single;35791;2;1;06.05.2021;94;0;27;0;5;0;0;3;1;0;3
1976;PhD;Together;162397;1;1;03.06.2021;31;0;85;1;16;2;1;2;0;0;1
1978;Graduation;Widow;54162;1;1;18.03.2021;31;0;5;6;10;6;5;10;1;0;3
1960;Master;Married;30522;0;1;17.08.2020;6;0;179;8;83;19;11;26;1;2;9
1961;PhD;Married;54456;0;1;11.07.2021;23;0;352;0;27;10;0;15;6;1;7
1971;Graduation;Single;31632;0;0;14.07.2021;92;0;17;8;12;11;15;32;2;1;2
1949;Graduation;Widow;72298;0;0;10.03.2022;52;0;625;35;169;58;17;35;4;3;6
1978;2n Cycle;Single;36975;1;0;28.12.2021;50;0;10;6;11;0;4;2;1;0;3
1955;2n Cycle;Married;72635;0;0;03.06.2021;54;0;390;22;323;104;35;107;6;8;6
1976;Graduation;Married;13624;1;0;20.01.2021;93;0;10;2;15;2;1;6;2;0;3
1975;Graduation;Single;84196;0;1;03.06.2021;56;0;215;63;507;231;31;190;8;4;7
1960;Graduation;Together;70971;0;1;21.09.2020;28;0;1001;17;572;93;125;17;11;11;5
1977;PhD;Divorced;34487;1;1;06.09.2020;94;0;19;18;33;24;1;8;3;0;3
1977;Graduation;Single;28769;1;0;18.12.2020;76;0;41;5;129;10;3;3;4;1;4
1970;PhD;Married;69084;1;0;19.11.2021;43;0;1181;107;199;39;30;30;7;3;13
1958;PhD;Together;65488;0;0;13.06.2022;46;0;603;45;207;36;18;54;3;4;6
1970;2n Cycle;Married;62466;0;1;15.01.2022;13;0;129;129;259;168;121;83;6;3;12
1960;2n Cycle;Single;32218;0;0;15.02.2022;27;0;10;24;15;13;1;30;2;1;3
1973;Graduation;Single;83917;0;0;18.04.2021;12;0;514;22;732;42;198;79;6;7;7
1962;Graduation;Divorced;46102;2;1;10.03.2022;3;0;14;0;1;0;0;1;1;0;2
1952;Graduation;Single;84574;0;0;04.06.2021;72;0;387;20;713;38;54;163;9;11;11
1962;Graduation;Married;56181;0;1;08.01.2021;6;0;121;103;69;8;44;48;4;2;7
1950;Master;Divorced;63120;0;1;28.09.2020;53;0;965;69;279;54;41;69;8;4;9
1971;Graduation;Married;73691;0;1;06.11.2021;58;0;707;21;250;85;43;73;6;2;8
1960;Graduation;Together;63381;0;1;05.10.2020;78;0;571;50;142;33;50;159;4;5;13
1948;PhD;Together;76140;0;0;13.05.2022;57;0;586;66;653;17;0;26;5;9;6
1959;PhD;Divorced;62859;0;1;30.12.2020;37;0;1063;89;102;16;12;25;9;4;6
1964;Graduation;Single;45906;0;1;07.05.2021;20;0;305;3;27;4;3;144;5;4;4
1947;Master;Together;77632;0;0;10.03.2021;73;0;1200;105;758;0;42;147;4;2;6
1971;PhD;Married;46463;1;1;18.08.2021;56;0;163;2;40;8;11;11;3;1;6
1970;Graduation;Together;105471;0;0;21.01.2021;36;0;1009;181;104;202;21;207;9;8;13
1970;Master;Divorced;55282;1;0;13.12.2021;9;0;125;6;73;8;4;19;3;1;6
1977;Master;Married;78710;0;1;23.05.2022;42;0;721;0;152;119;50;50;7;6;12
1958;Graduation;Together;66886;0;1;16.09.2021;28;0;315;4;62;41;31;146;7;1;7
1960;Master;Single;98777;0;0;17.02.2022;23;0;1000;19;711;125;115;38;4;6;9
1985;Graduation;Together;29103;1;0;27.08.2020;38;0;16;0;17;6;3;6;1;0;3
1974;Graduation;Married;67445;0;1;12.08.2020;63;0;757;80;217;29;80;11;9;6;12
1950;PhD;Together;50616;0;1;13.04.2022;71;0;30;2;25;0;1;9;1;1;4
1955;Graduation;Divorced;49431;0;1;03.08.2020;9;0;219;3;100;26;0;17;7;1;5
1975;Graduation;Divorced;153924;0;0;07.02.2022;81;0;1;1;1;1;1;1;0;0;0
1953;Graduation;Together;61278;0;1;04.01.2022;87;0;111;3;28;2;6;15;3;1;4
1958;2n Cycle;Together;26490;0;0;22.09.2020;92;0;45;47;52;21;20;25;3;1;5
1947;PhD;Together;73059;0;1;31.08.2021;36;0;410;112;420;0;82;71;9;3;13
1966;PhD;Single;46734;1;2;21.10.2021;86;0;100;1;39;6;1;76;3;2;3
1963;Graduation;Together;56253;0;1;07.12.2020;83;0;509;0;65;7;11;5;7;2;9
1985;Graduation;Married;19986;1;0;14.11.2021;74;0;3;6;5;0;2;6;0;0;3
1975;Graduation;Widow;58330;0;1;25.12.2021;87;0;445;53;213;104;98;151;6;4;13
1980;Basic;Married;25965;0;0;07.09.2020;29;0;2;2;11;41;7;11;2;0;3
1956;Master;Together;14661;0;0;01.01.2021;88;0;4;1;11;6;2;2;1;0;3
1959;Graduation;Married;18690;0;0;28.12.2020;77;0;6;1;7;23;4;19;1;1;2
1974;PhD;Together;45068;0;1;16.05.2021;25;0;14;0;3;0;0;3;1;0;2
1987;Basic;Single;21063;1;0;25.09.2021;34;0;1;10;11;19;3;15;2;0;3
1968;PhD;Married;29187;1;0;09.05.2021;43;0;26;0;6;0;0;2;1;0;3
1971;2n Cycle;Married;54690;1;1;07.11.2021;76;0;111;16;37;7;9;18;3;1;5
1964;PhD;Married;59304;0;1;29.07.2021;81;0;418;61;428;80;51;10;7;8;10
1962;Master;Single;59247;0;2;08.11.2021;87;0;327;9;122;19;14;83;5;2;9
1970;Graduation;Widow;66731;0;1;12.09.2020;33;0;371;159;194;58;106;141;4;3;6
1980;Graduation;Married;77353;0;1;16.12.2021;38;0;275;59;107;69;101;59;6;4;8
1975;PhD;Single;52614;0;1;01.12.2020;63;0;789;0;142;12;9;38;2;4;8
1974;Graduation;Married;26751;2;0;22.05.2022;26;0;1;1;5;0;3;1;1;0;2
1963;PhD;Married;81300;0;1;30.10.2020;17;0;1004;12;145;32;12;36;10;3;5
1979;Graduation;Single;70337;0;0;02.01.2022;75;0;187;81;149;25;43;91;2;2;12
1985;2n Cycle;Married;36145;1;0;16.06.2021;13;0;56;4;76;17;1;18;4;1;3
1980;PhD;Single;65295;0;0;23.12.2021;19;0;365;32;117;34;110;6;3;3;13
1963;Graduation;Divorced;68118;0;1;18.10.2021;51;0;595;23;123;10;23;154;8;9;4
1967;Graduation;Divorced;68743;0;0;30.08.2020;81;0;1132;134;384;175;134;115;11;5;13
1982;2n Cycle;Together;41039;0;0;25.07.2021;32;0;34;11;137;179;61;45;8;1;5
1955;Graduation;Together;38946;0;1;24.10.2021;84;0;116;6;82;6;6;41;3;1;6
1967;Graduation;Together;65777;0;0;19.12.2021;87;0;565;32;435;28;32;54;2;8;6
1976;PhD;Divorced;66476;0;1;07.03.2021;99;0;372;18;126;47;48;78;5;2;11
1972;PhD;Single;86857;0;0;12.09.2020;96;0;899;102;838;133;102;40;5;6;10
1982;PhD;Married;160803;0;0;04.08.2020;21;0;55;16;1622;17;3;4;0;28;1
1989;PhD;Together;77845;0;0;16.05.2022;40;0;760;40;480;0;40;26;3;5;12
1969;PhD;Together;69476;0;0;30.09.2021;3;0;260;86;559;63;9;67;4;6;4
1960;PhD;Divorced;50611;0;1;04.10.2020;98;0;459;0;24;6;0;4;4;5;7
1970;Graduation;Single;61209;0;0;25.08.2021;73;0;466;0;224;119;49;99;5;3;4
1958;Master;Together;42315;0;1;12.07.2021;90;0;67;15;80;17;11;80;1;4;4
1952;Basic;Together;13084;0;0;02.11.2021;29;0;2;0;7;3;7;10;1;0;3
1949;Master;Widow;47570;1;1;29.05.2021;3;0;67;1;20;0;2;31;2;2;2
1961;Master;Married;61923;0;2;26.07.2021;94;0;92;4;18;3;3;6;2;1;4
1995;Graduation;Single;34824;0;0;26.03.2022;65;0;4;2;11;2;0;4;1;0;2
1949;PhD;Single;26518;1;1;08.04.2021;33;0;20;1;28;3;3;2;2;0;3
1961;Graduation;Single;45938;0;0;03.11.2021;46;0;273;11;178;62;83;29;8;4;6
1960;Graduation;Together;78468;0;0;09.04.2022;29;0;434;22;388;104;22;34;10;7;10
1973;Graduation;Divorced;78901;0;1;17.09.2021;99;0;321;11;309;33;26;34;9;3;5
1978;Graduation;Married;71427;2;0;12.03.2022;26;0;212;123;177;15;64;23;8;2;8
1978;Graduation;Divorced;71022;0;1;11.02.2022;30;0;909;12;278;0;12;242;5;2;11
1988;Master;Single;90247;0;0;29.04.2022;27;0;1184;32;352;21;16;16;3;4;7
1968;Master;Divorced;41335;1;0;26.12.2021;24;0;112;19;21;16;14;5;4;1;4
1986;Graduation;Married;71952;1;0;10.01.2021;93;0;656;80;455;52;107;93;8;4;8
1970;PhD;Divorced;35682;1;0;27.06.2022;34;0;23;0;8;6;2;18;1;1;3
1951;Graduation;Divorced;43185;0;1;10.04.2021;88;0;537;6;42;16;6;30;9;3;6
1948;PhD;Together;66375;0;1;21.11.2021;96;0;712;0;45;0;0;191;2;4;5
1971;Master;Married;35178;1;0;10.01.2021;10;0;23;1;13;2;2;18;1;1;2
1986;Graduation;Married;25252;1;0;12.07.2021;26;0;1;3;4;2;2;6;1;0;2
1965;Master;Single;55250;0;1;21.10.2020;49;0;664;58;83;32;0;66;7;5;10
1975;Graduation;Single;33249;1;0;20.02.2021;11;0;6;10;21;19;14;42;2;1;3
1953;Graduation;Together;58398;0;0;14.05.2021;44;0;299;5;201;21;21;49;5;4;8
1982;Graduation;Together;50272;1;0;07.08.2021;75;0;99;13;66;43;8;4;4;1;5
1975;PhD;Married;76618;0;0;07.12.2020;64;0;749;40;294;121;160;147;3;2;5
1960;2n Cycle;Divorced;87305;0;0;23.09.2020;19;0;345;25;501;63;138;80;5;3;8
1978;Graduation;Together;25851;1;0;11.02.2021;45;0;9;4;18;7;5;5;2;0;3
1970;Graduation;Divorced;58710;0;1;31.03.2021;77;0;440;81;368;0;122;174;11;5;9
1958;Graduation;Single;45160;1;1;29.03.2022;9;0;8;2;5;3;0;3;1;0;2
1965;Master;Married;74806;0;1;19.12.2020;1;0;670;9;249;0;28;9;5;4;5
1954;Graduation;Married;59111;0;0;02.05.2021;90;0;524;0;134;28;28;155;11;1;8
1984;PhD;Married;18988;1;0;23.05.2022;43;0;6;0;6;2;1;1;1;0;3
1965;Graduation;Married;72190;0;0;13.02.2021;79;0;597;166;597;172;166;249;5;6;4
1976;Graduation;Married;7500;1;0;01.08.2020;19;0;7;0;12;13;7;32;4;1;2
1966;Graduation;Married;44794;0;1;08.06.2022;99;0;54;0;7;0;0;4;2;0;3
1955;Graduation;Married;80395;0;0;23.11.2021;62;0;445;25;706;80;76;48;6;5;12
1976;Master;Divorced;75012;0;0;25.01.2022;41;0;294;142;218;164;58;151;3;8;11
1965;Master;Married;56962;2;1;11.10.2021;60;0;292;3;77;10;3;26;6;3;5
1991;Graduation;Together;89891;0;0;15.04.2021;17;0;412;22;132;59;28;183;11;6;8
1949;PhD;Divorced;35946;1;1;27.09.2021;24;0;8;0;3;0;0;0;0;0;3
1953;PhD;Together;53593;1;1;07.08.2020;60;0;349;4;78;6;0;43;7;2;6
1978;Graduation;Married;66373;1;1;12.06.2021;57;0;328;9;124;12;24;109;4;2;10
1948;PhD;Divorced;45072;1;2;16.10.2021;74;0;144;2;99;7;2;30;6;1;4
1973;Graduation;Divorced;89694;1;1;09.10.2021;22;0;1126;28;211;37;28;42;4;3;4
1949;Graduation;Married;72025;0;0;29.04.2022;46;0;967;0;617;43;50;0;4;8;13
1973;Graduation;Married;67432;0;1;29.03.2021;69;0;432;79;341;177;136;170;8;5;4
1952;Master;Together;70545;0;1;03.06.2022;29;0;138;39;63;55;18;21;4;1;7
1989;Basic;Married;17487;1;0;18.03.2021;37;0;0;0;1;7;4;6;1;0;2
1969;Graduation;Together;62882;0;1;09.08.2020;26;0;509;133;497;78;24;97;7;5;6
1953;PhD;Single;64108;0;1;23.03.2021;8;0;948;10;86;13;21;21;6;9;11
1956;Master;Together;34941;1;1;06.03.2021;26;0;39;2;25;4;3;24;3;0;3
1950;PhD;Single;48767;1;2;01.01.2022;79;0;28;1;21;3;0;10;2;1;3
1978;2n Cycle;Together;38702;1;0;01.08.2021;71;0;13;11;24;13;8;40;3;0;4
1964;Graduation;Married;82224;0;0;25.01.2022;83;0;307;26;360;138;31;40;6;9;5
1952;Graduation;Together;83844;0;0;12.05.2021;57;0;901;31;345;75;31;191;4;4;11
1975;2n Cycle;Married;17003;1;0;09.12.2021;37;0;2;5;12;4;8;7;2;0;4
1995;Graduation;Single;71163;0;0;09.03.2022;30;0;283;17;372;138;106;44;3;8;12
1970;Graduation;Single;33697;1;0;15.09.2021;34;0;4;3;7;0;3;11;1;0;2
1954;2n Cycle;Married;63564;0;0;29.01.2022;0;0;769;80;252;15;34;65;10;10;7
1972;PhD;Together;83443;0;0;31.12.2021;89;0;518;42;742;55;56;84;6;10;5
1958;PhD;Together;51518;0;1;03.10.2021;92;0;350;8;66;17;4;4;3;2;10
1975;Graduation;Widow;58330;0;1;25.12.2021;87;0;445;53;213;104;98;151;6;4;13
1969;Graduation;Married;80952;0;0;28.02.2021;20;0;778;178;689;41;27;44;8;5;11
1979;Graduation;Together;75507;0;0;02.05.2022;56;0;709;93;374;104;80;80;8;6;6
1978;2n Cycle;Together;63855;0;0;09.02.2021;28;0;359;35;314;93;116;89;7;3;13
1972;PhD;Together;62220;0;1;11.08.2020;55;0;799;12;375;16;12;12;7;6;5
1964;Graduation;Married;58512;0;1;19.09.2021;25;0;895;10;101;13;0;152;3;4;8
1979;Master;Married;40662;1;0;15.03.2021;0;0;40;2;23;0;4;23;2;1;3
1959;PhD;Married;38829;0;1;06.04.2022;86;0;76;0;7;0;0;16;3;2;2
1981;2n Cycle;Married;35523;1;0;03.10.2021;8;0;11;5;22;12;5;11;3;0;3
1967;Graduation;Single;79146;1;1;24.04.2022;33;0;245;16;223;21;43;16;8;1;8
1988;Master;Married;78285;0;0;28.10.2021;13;0;647;107;391;175;67;40;6;4;10
1978;PhD;Single;31626;1;0;10.05.2021;12;0;39;1;9;2;1;34;2;1;2
1952;Graduation;Single;75127;0;0;22.05.2022;92;0;203;35;305;46;17;227;2;11;5
1955;Graduation;Married;48726;0;1;27.04.2021;90;0;138;3;38;4;0;59;3;2;4
1977;Graduation;Married;74985;0;0;11.09.2020;8;0;587;51;898;247;0;86;3;6;7
1987;Graduation;Together;67430;0;0;05.09.2020;6;0;595;97;291;127;133;121;11;5;12
1965;2n Cycle;Married;46891;0;1;01.09.2021;91;0;43;12;23;29;15;61;2;1;4
1956;Master;Married;62058;0;1;26.05.2021;52;0;301;7;74;10;0;58;6;1;7
1979;Graduation;Married;72063;0;1;03.07.2021;3;0;180;32;348;76;32;90;5;2;12
1951;PhD;Married;78939;0;0;12.12.2021;57;0;794;115;243;150;0;205;8;5;6
1965;Graduation;Single;42720;1;1;24.04.2021;9;0;392;5;91;28;26;112;7;3;7
1972;Graduation;Married;33622;1;1;13.04.2021;22;0;39;1;22;3;4;12;2;0;4
1957;PhD;Together;6835;0;1;08.12.2020;76;0;107;2;12;2;2;12;0;0;1
1953;Graduation;Together;41452;1;1;06.03.2021;86;0;13;0;3;0;0;0;1;0;2
1965;PhD;Single;40760;0;1;30.08.2021;64;0;70;0;17;0;0;6;2;1;3
1958;PhD;Together;74250;0;0;26.01.2022;90;0;680;11;392;75;0;0;2;11;4
1955;Master;Single;51124;1;1;18.12.2021;79;0;26;1;11;0;1;4;1;0;3
1971;Graduation;Single;72258;0;1;12.09.2021;28;0;522;0;522;227;120;134;6;9;5
1974;PhD;Single;71466;0;0;05.04.2022;86;0;412;12;546;78;182;0;4;4;10
1976;Graduation;Together;36283;1;1;14.04.2022;42;0;6;5;5;8;0;5;1;0;3
1970;Graduation;Single;20587;1;0;11.05.2022;39;0;2;3;6;4;1;9;1;1;2
1972;Graduation;Married;30467;1;0;19.03.2022;8;0;1;3;8;2;5;5;1;0;2
1972;Graduation;Together;31590;1;0;18.06.2021;40;0;6;2;15;6;6;3;1;0;3
1986;Basic;Married;20425;1;0;29.10.2020;5;0;4;12;5;3;16;17;2;0;3
1960;Master;Together;17144;1;1;15.02.2022;96;0;18;2;19;0;2;6;3;0;4
1968;PhD;Divorced;42564;0;1;02.01.2021;28;0;324;48;186;39;18;198;6;8;4
1978;Master;Married;43783;1;0;29.05.2022;22;0;327;9;125;25;4;139;7;1;8
1976;Graduation;Divorced;40780;0;1;08.09.2020;30;0;229;27;71;13;3;34;7;1;5
1945;Master;Together;62847;0;0;15.01.2021;45;0;521;168;706;80;76;61;3;6;4
1957;PhD;Married;82017;0;0;07.11.2020;58;0;184;23;446;30;23;23;5;4;7
1950;Graduation;Single;16813;0;0;19.07.2021;49;0;4;8;11;12;2;13;2;0;3
1978;Graduation;Married;51267;1;1;29.10.2021;37;0;183;2;64;7;2;12;3;3;5
1961;Graduation;Single;46524;0;1;05.04.2021;70;0;31;19;35;26;14;52;1;1;5
1962;Master;Single;45183;0;0;20.01.2021;33;0;219;3;60;12;9;12;4;1;7
1954;PhD;Married;70421;0;1;28.06.2022;98;0;479;28;136;75;14;35;10;3;7
1965;2n Cycle;Divorced;60161;0;1;23.10.2020;17;0;584;44;212;46;8;177;11;4;8
1973;Graduation;Together;73926;0;0;02.03.2021;54;0;627;91;597;159;91;15;6;5;12
1968;Graduation;Married;19329;1;0;14.12.2021;39;0;24;1;16;12;2;5;4;0;3
1970;Master;Married;61872;0;1;13.12.2021;81;0;330;5;159;36;27;16;4;4;9
1956;Graduation;Widow;46984;1;1;26.03.2021;71;0;19;1;10;2;1;8;1;0;3
1951;Graduation;Married;34838;1;1;19.01.2021;62;0;28;23;29;29;14;47;2;1;4
1944;PhD;Single;82716;0;0;05.11.2021;8;0;606;148;228;15;148;22;6;8;13
1958;Graduation;Married;48192;0;0;06.04.2021;76;0;1039;43;204;153;58;29;2;8;12
1976;Master;Married;49681;0;2;04.11.2021;66;0;411;0;26;0;0;21;7;1;7
1971;Master;Married;56850;0;1;23.03.2022;83;0;34;1;19;2;7;0;1;1;3
1957;Graduation;Married;55267;0;1;21.10.2021;28;0;161;28;136;32;3;45;3;4;6
1972;Graduation;Married;59666;1;1;22.03.2021;87;0;623;53;178;23;17;133;3;2;8
1972;Graduation;Single;72504;0;1;06.04.2021;43;0;604;26;470;123;161;94;5;9;6
1981;Graduation;Married;26872;0;0;16.10.2021;0;0;3;10;8;3;16;32;1;1;2
1972;Graduation;Single;21359;1;0;20.04.2021;1;0;12;2;17;6;1;10;2;0;3
1975;Graduation;Single;73170;0;0;31.05.2022;1;0;184;174;256;50;30;32;5;4;6
1955;Master;Married;52750;0;1;04.02.2021;72;0;393;0;239;90;69;69;5;7;9
1986;PhD;Together;91820;0;0;23.11.2021;72;0;410;73;747;76;161;30;5;5;12
1970;PhD;Together;65968;0;1;12.05.2022;12;0;376;9;83;19;4;4;5;4;7
1976;Graduation;Married;30772;1;1;12.03.2022;89;0;7;2;4;2;1;4;1;0;2
1954;Graduation;Single;22507;0;0;24.11.2020;67;0;68;0;226;51;157;68;10;2;4
1972;Graduation;Married;65685;0;1;29.03.2022;54;0;642;14;49;0;7;57;9;2;9
1978;2n Cycle;Married;25804;1;0;01.09.2021;34;0;8;7;9;13;6;12;2;0;3
1980;PhD;Single;76412;0;0;05.05.2021;15;0;840;53;804;23;71;17;5;4;8
1972;Graduation;Married;22063;1;0;08.08.2021;43;0;7;10;13;3;11;11;2;0;3
1961;Graduation;Single;57091;0;0;15.06.2022;0;0;464;5;64;7;0;37;7;3;7
1963;Graduation;Married;22419;0;0;18.04.2021;74;0;30;3;47;19;21;42;3;2;2
1959;Graduation;Together;87771;0;1;22.05.2021;61;0;1492;38;287;50;57;33;5;10;4
1959;2n Cycle;Divorced;78353;0;1;16.04.2021;51;0;752;122;476;39;153;34;10;2;11
1954;Graduation;Married;93404;1;2;07.05.2021;97;0;1279;15;287;20;0;15;3;4;7
1962;Graduation;Divorced;37859;1;2;12.01.2021;75;0;22;1;8;2;1;2;1;0;3
1958;PhD;Widow;80995;0;1;11.05.2021;83;0;860;28;409;73;56;56;8;9;4
1984;Graduation;Together;16529;1;0;01.03.2022;23;0;3;0;5;13;0;1;1;0;3
1976;PhD;Divorced;55412;1;1;22.11.2021;65;0;10;5;28;11;1;8;2;0;3
1992;Graduation;Single;48789;0;0;10.09.2020;94;0;351;16;156;7;5;145;6;4;7
1967;PhD;Together;56575;0;2;05.05.2021;42;0;421;5;90;0;16;10;7;3;7
1980;2n Cycle;Together;25130;1;0;02.10.2021;10;0;2;5;7;0;18;18;2;0;3
1967;Graduation;Married;35441;1;1;14.02.2021;94;0;25;1;9;2;1;1;1;0;3
1956;Graduation;Married;71391;0;1;29.03.2021;50;0;336;123;274;46;123;141;6;5;12
1972;Master;Single;49494;1;0;25.04.2021;46;0;191;9;97;0;6;82;6;1;5
1980;Graduation;Divorced;81702;0;0;23.09.2020;98;0;563;50;774;28;31;187;7;7;12
1980;2n Cycle;Single;45889;0;1;02.07.2021;42;0;31;0;6;0;1;8;1;0;3
1977;Graduation;Single;56628;0;1;21.03.2022;30;0;479;5;82;7;17;171;7;6;5
1950;Graduation;Together;34026;1;1;05.08.2021;11;0;18;6;15;12;8;17;2;1;3
1974;Graduation;Married;40049;0;1;29.11.2020;61;0;91;65;52;10;44;28;3;2;6
1988;Graduation;Single;34176;1;0;12.05.2022;12;0;5;7;24;19;14;20;3;0;4
1981;Graduation;Married;19419;1;0;10.11.2020;76;0;2;14;28;16;3;7;4;0;3
1960;2n Cycle;Married;82504;0;0;27.07.2021;2;0;362;50;431;134;35;54;3;6;7
1970;Graduation;Together;81205;0;0;13.01.2022;43;0;724;74;929;97;55;130;5;6;7
1991;2n Cycle;Single;61618;0;0;29.09.2020;27;0;605;91;399;0;45;205;3;6;8
1956;Master;Single;55284;0;1;24.12.2020;60;0;547;7;140;0;7;63;7;5;8
1963;Graduation;Single;49980;0;1;23.10.2021;79;0;104;1;54;13;9;14;3;1;5
1980;Graduation;Married;15072;2;0;10.05.2021;96;0;8;2;15;0;10;18;3;1;3
1974;Graduation;Single;49166;0;1;13.06.2021;17;0;224;2;25;7;0;110;5;3;3
1954;PhD;Married;65324;0;1;11.01.2022;0;0;384;0;102;21;32;5;6;2;9
1957;2n Cycle;Married;82347;0;0;06.11.2020;38;0;556;54;845;202;133;63;7;7;10
1966;PhD;Together;30843;1;1;26.05.2022;43;0;24;0;2;0;0;9;1;1;2
1974;PhD;Married;46374;0;1;17.03.2022;1;0;408;0;21;0;0;17;7;1;7
1979;Graduation;Single;60474;0;1;01.04.2021;25;0;265;199;303;234;9;170;10;2;12
1973;Master;Married;38576;0;1;04.03.2022;2;0;34;0;7;0;0;0;1;0;3
1985;Graduation;Married;55357;2;0;19.02.2021;66;0;374;64;116;84;25;64;6;2;11
1966;Graduation;Together;37758;1;1;04.10.2020;49;0;27;2;10;0;0;1;1;0;3
1989;2n Cycle;Married;85710;0;0;05.05.2021;5;0;600;20;350;29;30;33;6;9;10
1969;Graduation;Together;23228;1;0;26.01.2022;71;0;13;2;18;6;1;0;2;0;3
1969;Master;Together;44602;1;1;15.02.2022;35;0;167;2;89;0;0;34;6;1;4
1987;Graduation;Married;7500;0;0;09.01.2021;94;0;0;2;3;4;1;5;0;0;3
1989;2n Cycle;Together;38683;1;0;04.10.2020;80;0;46;35;69;84;41;66;4;1;6
1975;2n Cycle;Single;49514;1;0;17.12.2021;61;0;88;39;78;58;13;93;6;1;4
1973;PhD;Together;57906;0;1;11.06.2021;29;0;243;11;119;10;3;15;4;2;8
1966;Master;Single;43456;0;1;26.03.2021;0;0;275;11;68;25;7;7;5;1;8
1986;Master;Single;19485;2;0;24.09.2021;80;0;6;0;4;0;0;0;1;0;2
1978;Graduation;Together;53172;0;1;06.05.2021;54;0;121;62;90;68;20;125;2;3;8
1979;Graduation;Together;30545;1;0;17.10.2020;71;0;4;12;15;19;7;12;2;0;3
1983;PhD;Together;70123;0;0;28.09.2021;27;0;1308;0;396;23;0;0;5;7;4
1959;Graduation;Single;62450;0;1;06.01.2022;61;0;515;47;267;62;66;38;5;5;4
1976;Graduation;Together;21675;1;0;11.06.2022;55;0;4;0;16;17;4;4;4;0;3
1981;2n Cycle;Single;42395;1;1;04.04.2022;35;0;48;13;57;24;15;25;3;1;4
1978;Master;Together;61346;1;0;06.10.2021;34;0;562;58;168;43;16;142;5;7;10
1953;Graduation;Together;80812;0;0;17.09.2021;95;0;769;22;500;210;143;33;4;8;5
1971;Master;Divorced;42835;1;1;30.06.2021;64;0;379;4;93;12;9;98;6;6;4
1983;Graduation;Married;39922;1;0;14.02.2021;30;0;29;12;59;19;1;36;3;0;4
1956;Master;Single;86424;0;0;05.04.2022;12;0;387;68;569;89;45;68;6;9;12
1978;2n Cycle;Together;17117;1;0;17.01.2021;96;0;12;23;38;30;18;7;3;1;3
1972;Graduation;Single;24762;1;0;10.02.2022;16;0;6;10;12;3;15;40;3;1;2
1975;Graduation;Married;35797;0;1;16.10.2020;16;0;27;1;14;4;1;21;2;0;3
1975;Graduation;Divorced;36627;2;0;23.07.2021;78;0;9;1;5;0;0;1;0;0;3
